contamination,accuracy,precision_high,recall_high,f1_high,tn,fp,fn,tp
0.05,0.9706362153344209,0.8723404255319149,1.0,0.9318181818181818,472,18,0,123
0.02,0.9722675367047309,0.9274193548387096,0.9349593495934959,0.9311740890688259,481,9,8,115
0.03,0.967373572593801,0.905511811023622,0.9349593495934959,0.92,478,12,8,115
0.07,0.9510603588907015,0.803921568627451,1.0,0.8913043478260869,460,30,0,123
0.1,0.9282218597063622,0.7365269461077845,1.0,0.8482758620689655,446,44,0,123
0.12,0.9086460032626428,0.6871508379888268,1.0,0.8145695364238411,434,56,0,123
0.15,0.8874388254486134,0.640625,1.0,0.780952380952381,421,69,0,123
